danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.404,0.238,9,-13.005,1,0.0623,0.59,1.3e-06,0.103,0.302,79.41,audio_features,52V2BPdhlhFrUZF7AOrQP9,spotify:track:52V2BPdhlhFrUZF7AOrQP9,https://api.spotify.com/v1/tracks/52V2BPdhlhFrUZF7AOrQP9,https://api.spotify.com/v1/audio-analysis/52V2BPdhlhFrUZF7AOrQP9,224773,4
0.554,0.481,6,-12.479,1,0.0582,0.535,0.00206,0.114,0.805,179.762,audio_features,4dvSYOKfLQHarVXnVSG5wL,spotify:track:4dvSYOKfLQHarVXnVSG5wL,https://api.spotify.com/v1/tracks/4dvSYOKfLQHarVXnVSG5wL,https://api.spotify.com/v1/audio-analysis/4dvSYOKfLQHarVXnVSG5wL,122760,4
0.536,0.511,9,-7.221,0,0.0291,0.327,0.00056,0.844,0.38,123.997,audio_features,6abOIvFKsOkJ10I50XwhZ1,spotify:track:6abOIvFKsOkJ10I50XwhZ1,https://api.spotify.com/v1/tracks/6abOIvFKsOkJ10I50XwhZ1,https://api.spotify.com/v1/audio-analysis/6abOIvFKsOkJ10I50XwhZ1,286877,4
0.514,0.427,7,-11.952,1,0.0397,0.361,0.0001,0.772,0.22,133.375,audio_features,5D7q1wP8qMMgj0C4IS3qle,spotify:track:5D7q1wP8qMMgj0C4IS3qle,https://api.spotify.com/v1/tracks/5D7q1wP8qMMgj0C4IS3qle,https://api.spotify.com/v1/audio-analysis/5D7q1wP8qMMgj0C4IS3qle,210233,4
0.51,0.185,11,-9.43,0,0.0707,0.913,1.29e-06,0.138,0.207,182.068,audio_features,5O4lp65sEWenlviCdYdeOG,spotify:track:5O4lp65sEWenlviCdYdeOG,https://api.spotify.com/v1/tracks/5O4lp65sEWenlviCdYdeOG,https://api.spotify.com/v1/audio-analysis/5O4lp65sEWenlviCdYdeOG,190592,3
0.708,0.54,9,-11.576,1,0.138,0.596,0.0,0.0612,0.789,89.203,audio_features,5bKJDvmsgaNTVHQORrji1t,spotify:track:5bKJDvmsgaNTVHQORrji1t,https://api.spotify.com/v1/tracks/5bKJDvmsgaNTVHQORrji1t,https://api.spotify.com/v1/audio-analysis/5bKJDvmsgaNTVHQORrji1t,264893,4
0.664,0.725,9,-6.179,0,0.0897,0.363,1.39e-06,0.272,0.659,96.348,audio_features,0lPWEt7kSY37pSUIH68ME0,spotify:track:0lPWEt7kSY37pSUIH68ME0,https://api.spotify.com/v1/tracks/0lPWEt7kSY37pSUIH68ME0,https://api.spotify.com/v1/audio-analysis/0lPWEt7kSY37pSUIH68ME0,303773,4
0.774,0.334,2,-11.946,0,0.0565,0.799,2.38e-06,0.302,0.344,111.907,audio_features,6HwRRtvRPcrCtTKWYOgGtC,spotify:track:6HwRRtvRPcrCtTKWYOgGtC,https://api.spotify.com/v1/tracks/6HwRRtvRPcrCtTKWYOgGtC,https://api.spotify.com/v1/audio-analysis/6HwRRtvRPcrCtTKWYOgGtC,220467,4
0.508,0.34,9,-11.311,1,0.0384,0.0863,0.000325,0.262,0.396,125.519,audio_features,6vgKWE1KV4E7p1Dv75z0kL,spotify:track:6vgKWE1KV4E7p1Dv75z0kL,https://api.spotify.com/v1/tracks/6vgKWE1KV4E7p1Dv75z0kL,https://api.spotify.com/v1/audio-analysis/6vgKWE1KV4E7p1Dv75z0kL,198262,4
0.362,0.592,7,-5.907,1,0.0304,0.0132,2.49e-06,0.111,0.321,164.066,audio_features,1vrZkMnH8avpqJDEiXmPwJ,spotify:track:1vrZkMnH8avpqJDEiXmPwJ,https://api.spotify.com/v1/tracks/1vrZkMnH8avpqJDEiXmPwJ,https://api.spotify.com/v1/audio-analysis/1vrZkMnH8avpqJDEiXmPwJ,312728,3
