,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1801,0.8958333333333333,0.24200446310027163,0.0,0.34221008307727324,0.9109937161563607,0.09090909090909091,0.7783940316089134,1.0,0.09942307692307693,0.0012259371833839919,0.0,0.08376963350785341,0.22402088772845952,0.6200164918403741
1190,0.05208333333333333,0.43959239740997197,0.0,0.6654148173438035,0.6699767003550451,0.8181818181818182,0.49725139884166103,1.0,0.44999999999999996,0.5896656534954408,0.0,0.028128528898470385,0.5749347258485639,0.41255169680582454
1817,0.0,0.29497569295504217,0.0,0.4867417776260385,0.9379956224909478,0.18181818181818182,0.8850004908216356,1.0,0.028076923076923083,7.639311043566364e-05,0.00015756951596292485,0.10173493481162099,0.42767624020887723,0.5690260225899861
251,0.46875,0.2765079559613538,0.0,0.735973597359736,0.6089723934509776,0.09090909090909091,0.6666339452243055,0.0,0.04365384615384614,0.452887537993921,0.0008166838311019568,0.10686787804126888,0.44543080939947777,0.6967610792567165
2505,0.53125,0.3900770063525134,0.0,0.21474906111300784,0.9609972464055963,0.9090909090909092,0.6624619613232552,0.0,0.1923076923076923,3.677811550151976e-05,0.004387229660144181,0.14998460117031107,0.03770234986945169,0.3284752718277178
1117,0.020833333333333332,0.2503587331740098,0.0,0.5015363605326051,0.5899710519562681,0.36363636363636365,0.8371944635319526,0.0,0.015961538461538465,0.00110435663627153,0.002368692070030896,0.25982958628477576,0.16449086161879894,0.4257196003605193
1411,0.0,0.27793778213534326,0.0,0.7314214180038694,0.7609831254086539,0.36363636363636365,0.7373613428879946,1.0,0.006346153846153849,0.17831813576494426,3.738414006179197e-05,0.10789446668719843,0.8819843342036553,0.5044457654962573
2113,0.53125,0.3067717588904549,0.0,0.44577216342323894,0.9509965403557491,0.2727272727272727,0.8514282909590656,1.0,0.05980769230769231,0.0013171225937183384,0.9134912461380021,0.13766553741915616,0.2605744125326371,0.3096055381901163
408,0.44791666666666663,0.1872025450905897,0.0,0.6824854899283033,0.5079652623475217,0.9090909090909092,0.597280848139786,1.0,0.03884615384615385,0.12158054711246201,1.0916580844490218e-06,0.1386921260650857,0.560313315926893,0.18440817944145077
2579,0.22916666666666666,0.17973936311456995,0.0,0.4104927734152725,0.9829987997152598,0.7272727272727273,0.8242367723569256,1.0,0.1315384615384615,2.1073961499493417e-05,0.21936148300720906,0.24340416794990252,0.2981723237597911,0.6326474517549745
2254,0.6041666666666666,0.29670808056049186,0.0,0.577785364743371,0.9749982348753822,1.0,0.8148620791204477,0.0,0.1576923076923077,5.764944275582574e-05,0.8177136972193616,0.09454881429011396,0.05712793733681462,0.3450949559258762
52,0.5,0.21950002042608818,0.0,0.6984181176738364,0.4309598257636989,0.7272727272727273,0.6856778246785119,1.0,0.014615384615384613,0.4214792299898683,0.0,0.1602504876296068,0.7065274151436031,0.6321744299767964
644,0.4270833333333333,0.28961384480258184,0.0,0.5129168089222716,0.6369743703905496,0.0,0.6527927751055267,1.0,0.015,0.6160081053698075,0.0,0.15203777846217023,0.8694516971279372,0.5710139924955733
1763,0.78125,0.20654860387687152,0.0,0.5402298850574714,0.8619902565121097,0.18181818181818182,0.740453519191126,1.0,0.1298076923076923,0.014589665653495442,0.06148300720906283,0.21671286315573351,0.528981723237598,0.24939114426525016
2776,0.5520833333333333,0.24462538554241475,0.0,0.5299874815067714,0.9609972464055963,0.9090909090909092,0.7742711298714048,0.0,0.23076923076923073,0.0003343465045592705,0.3305870236869207,0.6981829380967046,0.14360313315926893,0.3433243203508031
900,0.3958333333333333,0.22615764854872644,0.0,0.5891658131330375,0.8779913861918651,1.0,0.6532345145774026,0.0,0.16730769230769227,0.21681864235055726,2.924819773429454e-06,0.987680936248845,0.531070496083551,0.6020736252005547
1073,0.010416666666666666,0.20903292685417812,0.0,0.23978604757027427,0.6769771945899381,0.6363636363636364,0.7580249337390793,1.0,0.05730769230769231,0.452887537993921,0.0,0.19207473565342367,0.35874673629242815,1.0
472,0.4583333333333333,0.2618688338746247,0.0,0.6563104586320702,0.7349812896790513,0.6363636363636364,0.702218513792088,1.0,0.0057692307692307696,0.10840932117527863,0.121524201853759,0.05102145570269992,0.6908616187989557,0.5717171329766493
2738,0.22916666666666666,0.3462285781400004,0.0,0.19654034368954137,0.9179942103912536,0.36363636363636365,0.707323058800432,0.0,0.20769230769230768,9.351570415400202e-05,0.0,0.0675495329021661,0.09033942558746735,0.24960847859576446
2546,0.23958333333333331,0.1276056028759932,0.0,0.42870149083873904,0.992999505765107,0.8181818181818182,0.8812702463924611,1.0,0.37499999999999994,0.00029078014184397166,0.9423274974253348,0.12945282825171953,0.13211488250652742,0.6329670610645546
44,0.53125,0.38723395020119694,0.0,0.5595766473199045,0.3579546715998149,0.6363636363636364,0.5969372729949938,1.0,0.2461538461538461,0.5531914893617023,0.0,0.2136330972179448,0.43812010443864224,0.3798237035048356
289,0.46875,0.25511162857201214,0.0,0.630135427335837,0.586970840141314,0.8181818181818182,0.5134975949739865,1.0,0.045192307692307684,0.6565349544072949,0.0,0.08736269376860692,0.8402088772845953,0.3162342352708049
912,0.40625,0.2617832996302878,0.0,0.6039603960396039,0.6979786772946169,0.18181818181818182,0.5908510847158144,1.0,0.0059615384615384626,0.27862208713272546,0.00010051493305870237,0.3819936351503953,0.8234986945169713,0.24898843653517938
2083,0.3125,0.1676637150969218,0.0,0.24320018208717425,0.9819987291102752,0.09090909090909091,0.8890743103956024,1.0,0.33076923076923076,6.524822695035461e-05,0.9515962924819774,0.33374396879170526,0.19373368146214098,0.4271642344398207
1360,0.0,0.24745184549706883,0.0,0.5698190508706045,0.8729910331669416,0.0,0.7374104250515363,1.0,0.044999999999999984,0.0013880445795339412,0.00028115345005149333,0.08079252643465765,0.625065274151436,0.4731624062745699
2895,0.22916666666666666,0.21546714463713051,0.0,0.5254353021509048,0.9349954106759938,1.0,0.9070874644154315,0.0,0.037500000000000006,0.002127659574468085,0.07878475798146241,0.14793142387845193,0.6104438642297649,0.40916383812427687
2603,0.375,0.36363543517780905,0.0,0.3820416524411062,0.8089865144479201,0.18181818181818182,0.7651909296161776,1.0,0.05692307692307692,5.096251266464033e-05,0.8558187435633368,0.06703623857920131,0.0512793733681462,0.41509578691008103
1226,0.0,0.23950226729579016,0.0,0.7018322521907364,0.5219662508173077,0.36363636363636365,0.6709040934524395,1.0,0.015576923076923072,0.7051671732522796,0.0,0.6068165486089724,0.7274151436031331,0.3639838661220524
296,0.4583333333333333,0.2602513430152991,0.0,0.49470809149880507,0.9329952694660244,1.0,0.6907823696868559,0.0,0.10884615384615386,0.040729483282674776,0.030690010298661176,0.9332717380145776,0.6950391644908617,0.6373393164196086
1241,0.0,0.2925756275915599,0.0,0.5470581540912713,0.8719909625619569,0.0,0.8451948561892609,1.0,0.07807692307692307,0.0022593718338399195,0.0,0.27214865003593064,0.28981723237597906,0.4916997462302081
