,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2922,0.20833333333333331,0.16872587168331393,0.0,0.21816319562990782,0.9679977406404892,0.09090909090909091,0.7550309217630313,1.0,0.2153846153846154,0.009787234042553192,0.98043254376931,0.14793142387845193,0.06026109660574412,0.3146106199781387
340,0.4583333333333333,0.16864033743897705,0.0,0.7245931489700694,0.4219591903188365,0.8181818181818182,0.5373515264552862,1.0,0.08134615384615383,0.8125633232016212,0.0,0.7228210655990145,0.6950391644908617,0.4970052607692355
1099,0.020833333333333332,0.2326761239455032,0.0,0.4434960737453056,0.9859990115302141,0.0,0.9140571316383627,1.0,0.17884615384615382,0.03850050658561297,0.0008043254376930999,0.08407761010163228,0.16971279373368145,0.4662268842566846
1543,0.0,0.3498376125988112,0.0,0.2284055991806077,0.7379815014940054,0.6363636363636364,0.7736821439089037,1.0,0.04153846153846154,0.01469098277608916,0.0005118434603501546,0.3665948054614517,0.24490861618798956,0.7296680537710702
748,0.4270833333333333,0.2226341483342525,0.0,0.6233071583020371,0.8129867968678588,1.0,0.6078335133012664,0.0,0.05769230769230768,0.7558257345491388,0.005602471678681772,0.9507237449953804,0.7817232375979112,0.3251513350080861
2755,0.4895833333333333,0.22927262699920337,0.0,0.42756344599977236,0.9489963991457796,0.7272727272727273,0.6590262098753314,0.0,0.0646153846153846,2.006079027355623e-05,0.0025025746652935117,0.10892105533312801,0.1300261096605744,0.28091740656221825
662,0.4270833333333333,0.29272882325305877,0.0,0.7644247183339024,0.5049650505325676,0.8181818181818182,0.6213311082752528,0.0,0.21923076923076923,0.3373860182370821,0.00039134912461380027,0.049173596140026685,0.39112271540469973,0.42876867317391215
480,0.44791666666666663,0.2587704516208101,0.0,0.6528963241151702,0.4269595433437601,0.9090909090909092,0.5022086973593797,1.0,0.02211538461538462,0.6494427558257346,0.0005602471678681772,0.32553125962426865,0.21148825065274152,0.26873389968102995
2138,0.3020833333333333,0.29580550278816103,1.0,0.5038124502105383,0.9949996469750765,0.09090909090909091,0.817561598115245,1.0,0.1807692307692308,0.0005339412360688957,0.35633367662203913,0.1315060055435787,0.30234986945169706,0.36111377452202426
871,0.40625,0.40524337684090117,0.0,0.4992602708546717,0.756982842988715,1.0,0.7106606459212723,0.0,0.03269230769230769,0.33637284701114495,0.0,0.5000513294322965,0.32428198433420363,0.5688278648180465
1453,0.8854166666666666,0.26200543333946114,1.0,0.5277113918288381,0.4299597551587142,0.6363636363636364,0.5474624521448905,1.0,0.027307692307692297,0.00982776089159068,0.00013697219361483008,0.1140539985627759,0.08616187989556134,0.26084594192059624
2952,0.5208333333333333,0.3262276079008109,0.0,0.1851598952998748,0.9679977406404892,0.6363636363636364,0.7944929812506136,1.0,0.2884615384615384,4.792299898682877e-05,0.07198764160659116,0.12124011908428295,0.225065274151436,0.6728159497829853
549,0.4375,0.286210347856282,0.0,0.31717309662000687,0.6629762061201522,0.8181818181818182,0.7365269461077846,0.0,0.01615384615384615,0.5927051671732523,2.5231719876416067e-06,0.21055333128015605,0.29503916449086154,0.5382220773326685
2020,0.6770833333333333,0.3014443797618318,0.0,0.5254353021509048,0.8799915274018346,0.6363636363636364,0.8048983999214686,0.0,0.015192307692307692,9.71631205673759e-05,0.006323377960865088,0.06621496766245766,0.4945169712793733,0.26413152562307834
2708,0.22916666666666666,0.5769067753334559,0.0,0.14077614658017526,0.8999929395015288,0.36363636363636365,0.7825169333464219,0.0,0.08096153846153846,0.00024316109422492404,0.5911431513903193,0.04568319474386613,0.3284595300261096,0.28082791595553597
742,0.4270833333333333,0.1360275343668934,0.0,0.732559462842836,0.6239734525257483,0.5454545454545454,0.4460096201040542,0.0,0.37692307692307686,0.6443768996960487,1.8846549948506696e-06,0.12842623960578994,0.7859007832898172,0.2908892170211133
2415,0.47916666666666663,0.3318958473762689,0.0,0.20450665756230796,0.9829987997152598,0.7272727272727273,0.7799155786787082,1.0,0.14365384615384613,0.0002573454913880446,0.0607621009268795,0.5010779180782261,0.3284595300261096,0.7031852263792739
