 ,index,node_id,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0,0,210,74000,6g2BiiVQqY5v1S4HIrM54F,Rodrigo Amarante,Tuyo (Narcos Theme) [Extended Version] [A Netflix Original Series Soundtrack],Tuyo (Narcos Theme) [Extended Version] - A Netflix Original Series Soundtrack,66,151565,False,0.765,0.497,1,-7.806,0,0.0402,0.492,0.366,0.143,0.457,112.195,4,mpb
1,1,210,74001,6Dc2tCivms1s2X9myWe4ni,Rodrigo Amarante,Tuyo (Narcos Theme) [A Netflix Original Series Soundtrack],Tuyo (Narcos Theme) - A Netflix Original Series Soundtrack,65,89293,False,0.72,0.422,1,-13.338,0,0.069,0.474,0.0847,0.155,0.546,112.219,4,mpb
2,2,163,74002,76HOOcFt3lKVdScmoScfz1,Djavan,"Djavan ""Ao Vivo""",Azul (Ao Vivo),49,259066,False,0.632,0.651,7,-8.658,0,0.0401,0.756,3.99e-06,0.726,0.652,119.567,4,mpb
3,3,158,74003,4crctLJMKJekuqQ7cQLpHV,Nicolas Candido;Olívia,Apaga a Luz (feat. Olívia),Apaga a Luz (feat. Olívia),49,216446,False,0.61,0.42,4,-10.889,0,0.0462,0.815,0.0,0.123,0.553,96.313,4,mpb
4,4,158,74004,0XXwP0EmpOEqWxcL9aSreJ,Fábio Jr.,Fabio Jr.,Pareço um Menino,50,273906,False,0.58,0.33,7,-13.703,1,0.0295,0.596,1.44e-06,0.0849,0.373,136.408,4,mpb
5,5,163,74005,4yDSMcUP1gL4VK5jlaafXK,Vanessa Da Mata,Caixinha de Música (Ao Vivo),Amado - Ao Vivo,49,244426,False,0.357,0.469,0,-11.003,1,0.043,0.848,0.000239,0.924,0.263,168.139,4,mpb
6,6,163,74006,1KMBAzA8X44WL5RfxkjSsu,Lagum,MEMÓRIAS (de onde eu nunca fui),FESTA JOVEM,49,112052,False,0.819,0.438,11,-10.611,1,0.303,0.378,0.0,0.37,0.809,130.099,4,mpb
7,7,200,74007,1gDa6mXtwP3xE8tCNYAYDl,Jorge Aragão,Ao vivo,Identidade - Ao vivo,50,231866,False,0.581,0.721,9,-9.86,0,0.0441,0.612,0.000358,0.648,0.67,105.843,4,mpb
8,8,165,74008,4k2AjlWruIygEiZyJEy01I,Os Paralamas Do Sucesso,Acústico (Live),Tendo A Lua - Ao Vivo,51,200826,False,0.492,0.794,5,-5.823,1,0.046,0.196,2.62e-06,0.873,0.683,167.815,4,mpb
9,9,107,74009,5wSagCWflNwJ1xM59ZKw6O,Pato Fu,Gol de Quem?,Sobre o Tempo,52,207533,False,0.633,0.551,11,-12.294,1,0.0427,0.00731,0.123,0.144,0.427,94.946,4,mpb
10,10,84,74010,6vf5x73BHeI7hz4x7FxYjT,Antônio Carlos Jobim,The Greatest Jazz Mix,Look To The Sky,0,137933,False,0.499,0.215,11,-17.369,0,0.031,0.898,0.913,0.0989,0.74,132.383,4,mpb
11,11,53,74011,3UzG9lnmUswPscvRfVmHcv,Tim Maia,Chill in Brazil,Acenda o farol,0,192026,False,0.574,0.883,9,-6.686,0,0.136,0.0606,0.0,0.0524,0.692,123.095,4,mpb
12,12,165,74012,0DIYusRuEUeZaD5bEeXsGG,Jorge Vercillo,Monalisa,Monalisa,48,222732,False,0.773,0.873,1,-4.955,0,0.0486,0.482,1.87e-06,0.0995,0.636,124.968,4,mpb
13,13,163,74013,6OSs0dmcVqVdeWOmsaA5g1,Jota Quest,Acústico Jota Quest,Fácil - Acústico,54,229540,False,0.556,0.537,7,-10.761,1,0.0282,0.377,0.0,0.757,0.313,95.914,4,mpb
14,14,44,74014,7dC7qps73xUomlhJhfxatb,Tim Maia,Ressaquinha,Se eu lembro faz doer,0,230706,False,0.446,0.752,9,-8.252,0,0.0528,0.448,4.38e-05,0.121,0.476,132.938,4,mpb
15,15,158,74015,6oly99hlunwnWWWXB3HwNv,Gonzaguinha,Meus Momentos,Eu Apenas Queria Que Você Soubesse,50,155466,False,0.559,0.505,8,-9.446,1,0.0335,0.737,0.0,0.0878,0.776,139.12,4,mpb
16,16,163,74016,7K0Nelb1gfXMjaChQS1nzZ,Jota Quest,Acústico Jota Quest,Amor Maior - Acústico,51,235385,False,0.582,0.538,2,-9.395,0,0.0353,0.636,2.23e-06,0.868,0.355,76.008,4,mpb
17,17,64,74017,3LmYMHpOQaZ8YvgPrXtYJu,Antônio Carlos Jobim,Chill in Brazil,Triste,1,181600,False,0.568,0.396,8,-13.921,1,0.029,0.738,0.159,0.116,0.578,136.489,4,mpb
18,18,163,74018,00fzPML4lrNag28OPzsB93,Jota Quest,Acústico Jota Quest,O Vento - Acústico,51,282891,False,0.343,0.225,1,-14.937,0,0.0384,0.957,0.000249,0.661,0.101,144.533,4,mpb
19,19,158,74019,1yWoLQD7RwwUgO7ZWJtHf6,MAR ABERTO,Telegrama,Telegrama,51,236162,False,0.826,0.226,9,-14.557,1,0.128,0.423,0.0,0.0889,0.487,92.434,4,mpb
20,20,163,74020,74cONalKw3Op50jjyDDrV4,Leoni;Dinho Ouro Preto,Leoni - Ao Vivo,Garotos Ii (O Outro Lado) - Ao Vivo,48,214000,False,0.522,0.365,2,-11.031,1,0.0448,0.745,0.0,0.927,0.342,117.57,4,mpb
21,21,156,74021,6zciWZePv9ohzMshMJn7uu,Detonautas Roque Clube,A Saga Continua,Um Cara de Sorte,50,244013,False,0.524,0.636,6,-5.884,0,0.0302,0.163,0.0,0.11,0.247,138.074,4,mpb
22,22,165,74022,3Xomal5ygcaPbGUwVqVtEg,Frejat,Dose Dupla Frejat,Amor pra recomeçar,51,214626,False,0.564,0.856,7,-4.994,1,0.0363,0.215,0.0,0.337,0.726,120.528,4,mpb
23,23,30,74023,4CM2CpR5UpFoObTmuFOUIj,Antônio Carlos Jobim,Chill in Brazil,Favela,0,154960,False,0.457,0.224,9,-19.476,0,0.0344,0.715,1.2e-06,0.224,0.48,80.845,4,mpb
24,24,163,74024,6yTE5lm0wJq3CcU8GeT0T9,Roupa Nova,Roupacústico (Ao Vivo),Anjo - Ao Vivo,50,194706,False,0.533,0.574,2,-8.145,1,0.0264,0.176,2.77e-05,0.913,0.488,107.895,3,mpb
25,25,165,74025,3WtdWGFcbmVi2uKMcT4KZ2,Detonautas Roque Clube,Detonautas Acústico,Outro Lugar,54,236973,False,0.616,0.833,2,-7.932,1,0.0323,0.0392,9.77e-05,0.801,0.553,104.043,4,mpb
26,26,157,74026,77Y6wpQYkl4JnxotLfBNqU,Gonzaguinha;Ivete Sangalo,Presente,Sangrando,52,233733,False,0.485,0.412,2,-8.516,1,0.037,0.597,0.0,0.117,0.221,91.489,3,mpb
27,27,84,74027,4Lfod3ZkXkJBZZhw2cHKCk,Antônio Carlos Jobim,Ressaquinha,Neptune's Hep Tune,0,133506,False,0.548,0.412,5,-10.248,1,0.0333,0.807,0.934,0.127,0.325,79.512,4,mpb
28,28,54,74028,2lxPxoNHyjE5cpdxuj9VuK,Tim Maia,Só as Melhores do Pop Rock Brasileiro,Vê se decide,0,193866,False,0.817,0.743,8,-6.656,0,0.0464,0.298,0.0,0.233,0.961,123.382,4,mpb
29,29,191,74029,1oMpIhsJOFvAMLBYj6nnv9,Paula Toller,Nosso (Ao Vivo),Meu Amor Se Mudou pra Lua - Ao Vivo,48,197511,False,0.483,0.666,9,-9.793,1,0.0342,0.0623,0.0485,0.687,0.426,175.897,4,mpb
30,30,158,74030,67cVH1aHqxmlas4KZJs6cT,Zé Ramalho;Paulinho Moska,Moska Apresenta Zoombido: Zé Ramalho,Chão de Giz,53,291022,False,0.613,0.327,7,-10.558,1,0.03,0.767,1.37e-06,0.098,0.3,140.993,3,mpb
31,31,38,74031,3GitsRPchZRDyXlE4Aiyml,Antônio Carlos Jobim;Herbie Mann;João Gilberto,Chill in Brazil,Bolinha de papel,0,79000,False,0.797,0.415,5,-14.557,0,0.0514,0.881,0.0,0.0873,0.965,113.42,3,mpb
32,32,157,74032,5CtKRqXajhscvDERznj78q,Vander Lee,9,Esperando Aviões,49,222720,False,0.592,0.37,7,-9.482,0,0.0318,0.817,5.68e-05,0.107,0.209,139.862,4,mpb
33,33,70,74033,5vOVMNYDam6F6jtemqnNX2,Antônio Carlos Jobim;Frank Sinatra,christmas but not christmas songs,The Girl From Ipanema,0,200360,False,0.541,0.321,5,-14.418,1,0.0329,0.714,0.00345,0.101,0.549,133.537,4,mpb
