,index,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster_x,PC1,PC2,PCA_EuclidianDist(Xsign),1th_Boundary
897,897,0,207453,False,0.674,0.501,9,-10.292,1,0.0393,0.171,0.0,0.0738,0.891,129.836,1,0.37686330665807555,0.32455691880250587,0.7058999920504836,1
898,898,0,219426,False,0.61,0.562,3,-8.038,1,0.0338,0.487,0.0,0.0855,0.908,80.601,53,0.49735498095697883,0.37882979821272283,0.8378851255244352,1
899,899,39,209360,False,0.545,0.703,3,-8.1,0,0.0415,0.369,0.0,0.652,0.652,143.811,63,-0.5174887191984472,0.4157457268563594,-0.49436294794184193,-1
900,900,38,210560,False,0.569,0.878,11,-7.78,0,0.11,0.214,2.84e-06,0.98,0.53,145.226,66,-0.6894484925048829,0.2934490945299243,-0.5284196709484296,-1
901,901,40,181866,False,0.676,0.352,11,-10.402,0,0.0367,0.208,0.0,0.128,0.509,111.179,71,-0.6195984862304892,0.599893471200253,-0.7046099756692052,-1
902,902,40,197341,False,0.684,0.785,0,-4.782,1,0.0533,0.344,0.000262,0.206,0.685,159.949,30,0.4403203544243186,0.07654770237794911,0.694551468554966,1
903,903,39,166000,False,0.752,0.44,2,-8.136,0,0.035,0.477,0.222,0.0844,0.406,101.969,79,-0.5009312231545618,0.5058625905891373,-0.5646799441377369,-1
904,904,38,204007,False,0.302,0.293,11,-9.702,1,0.0317,0.952,0.0,0.114,0.146,75.007,46,0.40520228568866257,0.5078639845239383,0.8289848381895648,1
905,905,41,224522,False,0.535,0.706,9,-4.889,1,0.0711,0.26,0.0,0.139,0.507,145.96,20,0.2829394494351306,0.06269109540474366,0.5366140421264307,1
906,906,39,223106,False,0.686,0.726,7,-5.925,1,0.0579,0.0231,2.22e-06,0.0566,0.711,91.997,21,0.29455738390726227,0.059800941850661204,0.5478310843810779,1
907,907,38,176968,False,0.783,0.763,5,-6.511,0,0.04,0.401,0.00333,0.089,0.499,144.007,74,-0.5643543289341919,0.4334139215215933,-0.5354122444326352,-1
908,908,38,225800,False,0.714,0.724,7,-8.252,1,0.0432,0.645,9.57e-05,0.884,0.621,118.06,31,0.42530879466672256,0.3682522277335819,0.7691889698799428,1
909,909,39,185466,False,0.343,0.516,9,-9.701,0,0.0444,0.392,3.56e-05,0.981,0.447,105.556,62,-0.5908780470891268,0.472227440090784,-0.5824058706451987,-1
910,910,41,195173,False,0.586,0.858,0,-12.67,1,0.0493,0.00527,0.000244,0.0826,0.812,144.632,30,0.39866942362231983,-0.020317630127336728,0.6489875401242337,1
911,911,39,197973,False,0.581,0.337,0,-11.335,1,0.0283,0.866,0.000152,0.0839,0.385,153.904,55,0.5803838471627806,0.4771787320821045,0.9577248435643428,1
912,912,39,238466,False,0.582,0.698,2,-9.051,1,0.0261,0.275,9.76e-05,0.39,0.81,89.989,29,0.43491930751618213,0.18785858749720646,0.7102149721773626,1
913,913,41,260866,False,0.682,0.915,9,-3.633,1,0.0454,0.00193,0.00793,0.096,0.789,101.051,21,0.23737347289719724,-0.01120617194058987,0.4875022875571325,1
914,914,39,349866,False,0.66,0.86,1,-6.883,0,0.0593,0.124,2.35e-06,0.948,0.742,93.784,63,-0.5457343628543754,0.263715510097847,-0.39623816529841116,-1
915,915,39,135693,False,0.415,0.646,5,-8.148,1,0.036,0.663,0.0,0.291,0.662,100.295,51,0.44472740227531316,0.3292608343381546,0.7688035252919061,1
